Date,googl
12/6/2021,2863.1
12/7/2021,2945.39
12/8/2021,2963.73
12/9/2021,2952.77
12/10/2021,2960.03
12/13/2021,2916.53
12/14/2021,2878.14
12/15/2021,2928.82
12/16/2021,2888.9
12/17/2021,2834.5
12/20/2021,2832.14
12/21/2021,2869.45
12/22/2021,2928.3
12/23/2021,2938.33
12/27/2021,2958.13
12/28/2021,2933.74
12/29/2021,2933.1
12/30/2021,2924.01
