Date,googl
3/2/2015,575.02
3/3/2015,578.79
3/4/2015,578.33
3/5/2015,581.43
3/6/2015,572.9
3/9/2015,574.1
3/10/2015,559.85
3/11/2015,555.69
3/12/2015,561.17
3/13/2015,553
3/16/2015,561.64
3/17/2015,557.61
3/18/2015,566.16
3/19/2015,563.67
3/20/2015,564.95
3/23/2015,565.37
3/24/2015,577.54
3/25/2015,567
3/26/2015,563.64
3/27/2015,557.55
3/30/2015,561.14
3/31/2015,554.7
4/1/2015,549.49
4/2/2015,541.31
4/6/2015,543.95
4/7/2015,544.86
4/8/2015,548.84
4/9/2015,548.02
4/10/2015,548.54
4/13/2015,548.64
4/14/2015,539.78
4/15/2015,541.04
4/16/2015,543.52
4/17/2015,532.74
4/20/2015,544.53
4/21/2015,542.92
4/22/2015,549.18
4/23/2015,557.46
4/24/2015,573.66
4/27/2015,566.12
4/28/2015,564.37
4/29/2015,561.39
4/30/2015,548.77
5/1/2015,551.16
5/4/2015,552.84
5/5/2015,543.04
5/6/2015,535.08
5/7/2015,542.04
5/8/2015,548.95
5/11/2015,545.78
5/12/2015,538.73
5/13/2015,539.49
5/14/2015,549.2
5/15/2015,546.49
5/18/2015,546.67
5/19/2015,549.28
5/20/2015,552.51
5/21/2015,556.81
5/22/2015,554.52
5/26/2015,547.19
5/27/2015,554.25
5/28/2015,554.18
5/29/2015,545.32
6/1/2015,549.21
6/2/2015,553.95
6/3/2015,555.29
6/4/2015,551.69
6/5/2015,549.53
6/8/2015,543.48
6/9/2015,542.16
6/10/2015,552.6
6/11/2015,550.04
6/12/2015,547.47
6/15/2015,543
6/16/2015,544.87
6/17/2015,546.6
6/18/2015,556.18
6/19/2015,557.52
6/22/2015,559.68
6/23/2015,563.39
6/24/2015,558.57
6/25/2015,557.95
6/26/2015,553.06
6/29/2015,541.25
6/30/2015,540.04
7/1/2015,543.3
7/2/2015,547.34
7/6/2015,545.62
7/7/2015,550.03
7/8/2015,541.7
7/9/2015,544.65
7/10/2015,556.11
7/13/2015,571.73
7/14/2015,584.18
7/15/2015,583.96
7/16/2015,601.78
7/17/2015,699.62
7/20/2015,692.84
7/21/2015,695.35
7/22/2015,695.1
7/23/2015,674.73
7/24/2015,654.77
7/27/2015,658.27
7/28/2015,659.66
7/29/2015,661.43
7/30/2015,664.56
7/31/2015,657.5
8/3/2015,664.72
8/4/2015,661.28
8/5/2015,673.29
8/6/2015,670.15
8/7/2015,664.39
8/10/2015,663.14
8/11/2015,690.3
8/12/2015,691.47
8/13/2015,686.51
8/14/2015,689.37
8/17/2015,694.11
8/18/2015,688.73
8/19/2015,694.04
8/20/2015,679.48
8/21/2015,644.03
8/24/2015,618.11
8/25/2015,612.47
8/26/2015,659.74
8/27/2015,667.96
8/28/2015,659.69
8/31/2015,647.82
9/1/2015,629.56
9/2/2015,644.91
9/3/2015,637.05
9/4/2015,628.96
9/8/2015,643.88
9/9/2015,643.41
9/10/2015,651.08
9/11/2015,655.3
9/14/2015,652.47
9/15/2015,665.07
9/16/2015,665.52
9/17/2015,671.67
9/18/2015,660.92
9/21/2015,666.98
9/22/2015,653.2
9/23/2015,653.29
9/24/2015,654.91
9/25/2015,640.15
9/28/2015,624.25
9/29/2015,622.61
9/30/2015,638.37
10/1/2015,642
10/2/2015,656.99
10/5/2015,671.68
10/6/2015,671.64
10/7/2015,670
10/8/2015,667
10/9/2015,671.24
10/12/2015,676.43
10/13/2015,683.17
10/14/2015,680.41
10/15/2015,693.02
10/16/2015,695.32
10/19/2015,699.95
10/20/2015,680
10/21/2015,671.8
10/22/2015,681.14
10/23/2015,719.33
10/26/2015,731.12
10/27/2015,732.82
10/28/2015,736.92
10/29/2015,744.85
10/30/2015,737.39
11/2/2015,747.74
11/3/2015,748.82
11/4/2015,755.31
11/5/2015,760.67
11/6/2015,761.6
11/9/2015,754.77
11/10/2015,758.26
11/11/2015,765.25
11/12/2015,756.53
11/13/2015,740.07
11/16/2015,750.42
11/17/2015,745.98
11/18/2015,760.01
11/19/2015,759.94
11/20/2015,777
11/23/2015,776.7
11/24/2015,769.63
11/25/2015,769.26
11/27/2015,771.97
11/30/2015,762.85
12/1/2015,783.79
12/2/2015,777.85
12/3/2015,768.2
12/4/2015,779.21
12/7/2015,772.99
12/8/2015,775.14
12/9/2015,762.55
12/10/2015,760.04
12/11/2015,750.42
12/14/2015,762.54
12/15/2015,760.09
12/16/2015,776.59
12/17/2015,769.83
12/18/2015,756.85
12/21/2015,760.8
12/22/2015,767.13
12/23/2015,768.51
12/24/2015,765.84
12/28/2015,782.24
12/29/2015,793.96
12/30/2015,790.3
12/31/2015,778.01
1/4/2016,759.44
1/5/2016,761.53
1/6/2016,759.33
1/7/2016,741
1/8/2016,730.91
1/11/2016,733.07
1/12/2016,745.34
1/13/2016,719.57
1/14/2016,731.39
1/15/2016,710.49
1/19/2016,719.08
1/20/2016,718.56
1/21/2016,726.67
1/22/2016,745.46
1/25/2016,733.62
1/26/2016,733.79
1/27/2016,717.58
1/28/2016,748.3
1/29/2016,761.35
2/1/2016,770.77
2/2/2016,780.91
2/3/2016,749.38
2/4/2016,730.03
2/5/2016,703.76
2/8/2016,704.16
2/9/2016,701.02
2/10/2016,706.85
2/11/2016,706.36
2/12/2016,706.89
2/16/2016,717.64
2/17/2016,731.97
2/18/2016,717.51
2/19/2016,722.11
2/22/2016,729.05
2/23/2016,717.29
2/24/2016,720.9
2/25/2016,729.12
2/26/2016,724.86
2/29/2016,717.22
3/1/2016,742.17
3/2/2016,739.48
3/3/2016,731.59
3/4/2016,730.22
3/7/2016,712.8
3/8/2016,713.53
3/9/2016,725.41
3/10/2016,732.17
3/11/2016,744.87
3/14/2016,750.24
3/15/2016,750.57
3/16/2016,757.36
3/17/2016,758.48
3/18/2016,755.41
3/21/2016,762.16
3/22/2016,760.05
3/23/2016,757.56
3/24/2016,754.84
3/28/2016,753.28
3/29/2016,765.89
3/30/2016,768.34
3/31/2016,762.9
4/1/2016,769.67
4/4/2016,765.12
4/5/2016,758.57
4/6/2016,768.07
4/7/2016,760.12
4/8/2016,759.47
4/11/2016,757.54
4/12/2016,764.32
4/13/2016,771.91
4/14/2016,775.39
4/15/2016,780
4/18/2016,787.68
4/19/2016,776.25
4/20/2016,774.92
4/21/2016,780
4/22/2016,737.77
4/25/2016,742.21
4/26/2016,725.37
4/27/2016,721.46
4/28/2016,705.06
4/29/2016,707.88
5/2/2016,714.41
5/3/2016,708.44
5/4/2016,711.37
5/5/2016,714.71
5/6/2016,725.18
5/9/2016,729.13
5/10/2016,739.38
5/11/2016,730.55
